Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.9137,0.671875,0.02459954233409611,0.04746136865342163,0.9127931060249316
Decision Tree,0.9391,0.6238317757009346,0.7637299771167048,0.6867283950617284,0.9710015478696169
Random Forest,0.9394,0.6244196843082637,0.7694508009153318,0.6893900563813429,0.9714778287047694
XGBoost,0.93875,0.6236406619385343,0.7545766590389016,0.6828889464147035,0.971002018022789
