Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.9137,0.671875,0.0245995423340961,0.0474613686534216,0.9127931060249316
Decision Tree,0.9391,0.6238317757009346,0.7637299771167048,0.6867283950617284,0.9710015478696168
Random Forest,0.9394,0.6244196843082637,0.7694508009153318,0.6893900563813429,0.9714778287047694
XGBoost,0.93875,0.6236406619385343,0.7545766590389016,0.6828889464147035,0.971002018022789
VQC (Quantum),0.86,0.8970588235294118,0.8133333333333334,0.8531468531468531,
